Question Number,Question Type,Choice,left eye 1,left eye 2,right eye 1,right eye 2,EA,EL,PI,PR,PG,TH,AX,AY,AZ,GX,GY,GZ,MX,MY,MZ,SA,SR,SF,HR,BI,Accept_Deny_button.response,Accept_Deny_button.rt,Confidence_Slider.response,Confidence_Slider.rt,Deny_Slider.response,Deny_Slider.rt,Accuracy of AI response,Image authentic?
2,converstational,no,0.396603484,0.299963167,0.359261107,0.294541339,0.075326162,-969.6188885,137960.881,98844.75432,6120.383877,36.80832911,-0.471657744,-0.959036329,0.073768642,0.951477011,0.513851852,0.045838521,-4.388145315,-93.53728489,92.83938815,5.81E-05,0.148717962,45.09583492,48.4,1936,2,17.7495403,3,18.9225424,1,20.2258245,0,0
2,converstational,no,0.341831942,0.24476049,0.302967413,0.243817575,0.075708968,-1063.651588,138929.9299,99520.89492,6142.697023,36.76554335,-0.485804196,-0.951909091,0.078973776,0.92433042,0.5764903,0.172736746,-4.043706294,-94.3986014,93.4020979,3.66E-05,0.117948923,49.63948261,33.71428571,3228.571429,2,19.2694068,3,20.3423556,1,22.3776896,1,1
2,converstational,no,0.395381,0.417077099,0.356735919,0.440877581,0.076208377,-1184.648334,138124.6517,98976.78483,6082.19195,36.73608718,-0.483216049,-0.953575617,0.069824074,0.866567901,0.550040498,0.090309262,-4.052469136,-94.51080247,93.59567901,6.43E-05,0.13066676,51.82315128,32.84615385,2129.230769,1,20.6231293,3,21.7419119,3,24.5365856,1,0
2,converstational,no,0.514308088,0.47836854,0.482539059,0.50398239,0.076685906,-1299.083621,138248.4701,99152.72537,6072.826866,36.68462069,-0.487891369,-0.948477679,0.087063988,0.532123696,0.407780924,-0.001903522,-3.733630952,-94.75,94.44940476,5.03E-05,0.1266668,49.94249136,35.72727273,2352.727273,1,22.1117865,3,24.0666969,3,26.2180096,0,1
2,converstational,no,0.628000184,0.573507674,0.602303209,0.608755152,0.07714787,-1408.205058,137029.6287,98298.40455,6003.67951,36.63258382,-0.45801049,-0.968972028,-0.02523951,0.899764499,0.365121053,0.160663102,-4.863636364,-91.76923077,89.58391608,4.94E-05,0.147368421,47.54129429,33.625,2715,1,16.4655988,3,17.447886,1,22.7228196,1,0
2,converstational,no,0.438498502,0.327981334,0.408148761,0.343204474,0.07789185,-1581.40133,137019.2681,98313.94758,6036.477823,36.58457333,-0.461564257,-0.967576305,-0.023855422,0.927794769,0.530217742,0.140574113,-4.463855422,-91.39558233,87.04618474,7.16E-05,0.147368474,49.37644576,31.125,2320,1,17.1292695,4,18.1389369,1,19.1636865,1,1
2,converstational,no,0.399516354,0.481895864,0.371215243,0.472187597,0.07838239,-1693.854051,137041.9632,98328.60595,6055.791594,36.5257052,-0.453198953,-0.971137871,-0.028520979,1.077318739,0.862702465,0.411246429,-4.809773124,-91.19546248,86.93891798,6.14E-05,0.161403526,50.43470571,33,3195,1,16.6769493,4,18.1468204,3,21.5221831,0,1
2,converstational,no,0.676809818,0.644226175,0.654286035,0.688998192,0.078608726,-1745.311756,140519.6603,100625.0977,6156.373673,36.47044366,-0.56679704,-0.909765328,-0.016704017,0.940422505,0.614691489,0.129807522,-7.006342495,-93.54545455,91.44820296,6.42E-05,0.121212182,46.11712982,28,2817.142857,1,15.5717281,4,17.2781841,1,18.1950684,1,1
2,converstational,no,0.511888917,0.825088099,0.47111386,0.836051087,0.079062634,-1847.496674,139946.0542,100448.6146,6090.939628,36.42291327,-0.565595054,-0.910352396,-0.01788062,0.906121306,0.526765163,0.096189573,-7.168469861,-93.64914992,91.27202473,5.87E-05,0.133333421,46.87860513,36.71428571,1780,1,23.0625979,4,24.6951545,3,25.7792705,1,1
2,converstational,no,0.345263396,0.361653312,0.309047579,0.380358209,0.078952159,-1822.742222,138876.9374,99810.57047,6026.90604,36.36585926,-0.565046875,-0.910694196,-0.011477578,0.992044743,0.670292135,0.145390805,-7.098214286,-94.35491071,92.5,8.24E-05,0.15,38.14808519,37.1,1876,2,14.0803743,4,15.1202868,1,16.794344,1,0
2,converstational,no,0.654171139,0.526441024,0.63130106,0.558252046,0.078832737,-1795.901448,138315.3555,99503.69002,6054.406305,36.32499422,-0.518153578,-0.936938918,-0.03844484,0.909770979,0.589943958,0.001909735,-6.516579407,-94.68935428,92.13961606,5.49E-05,0.127777917,33.58322609,37.75,2840,2,19.1859466,4,20.445649,1,22.2276402,0,0
2,converstational,no,0.429652413,0.338424121,0.41128265,0.334231584,0.07865375,-1755.526814,138411.3068,99687.1577,6003.732274,36.27324597,-0.512171742,-0.941962241,-0.016457978,0.886552439,0.582894349,0.08568268,-6.390986602,-94.46772229,93.27527406,5.22E-05,0.122807211,31.53188182,40.83333333,1731.111111,2,28.8754778,4,30.7925635,1,32.6418955,1,0
2,converstational,no,0.399660905,0.323065752,0.361300563,0.336554731,0.078943898,-1820.834442,138095.2512,99641.30687,6022.267773,36.25187843,-0.507756501,-0.944178487,-0.013790974,0.940518957,0.58245933,0.123461071,-6.24822695,-95.09219858,95.03546099,6.13E-05,0.148148222,40.38439515,42,1656,2,27.0705956,3,28.3772542,1,32.2920508,1,1
2,converstational,no,0.363551788,0.295298606,0.326043542,0.270453908,0.079247947,-1888.851806,138266.3523,99755.99161,6041.293624,36.21896111,-0.512877926,-0.941506689,-0.01022597,0.89116388,0.58140871,0.108120898,-6.038461538,-95.96153846,95.46822742,5.92E-05,0.155555533,40.21721127,41.69230769,1972.307692,2,18.1316251,4,20.1825502,1,22.9120658,1,1
2,converstational,no,0.285787671,0.273848813,0.254442455,0.264371815,0.07977422,-2005.262199,138557.4959,99918.59711,6092.570248,36.23556655,-0.489196704,-0.952706488,-0.005016931,0.839883505,0.50162487,0.030292111,-6.264675592,-94.69824923,94.74047374,6.68E-05,0.138461538,38.44572034,33.8125,2412.5,2,21.7037358,4,36.7418666,3,38.4927276,0,0
2,converstational,no,0.554768475,0.391235308,0.53156536,0.407806805,0.081572099,-2389.21925,138382.7046,99822.14671,6010.651017,36.4138708,-0.484916147,-0.956264041,-0.001424266,0.920853171,0.612426042,0.139127651,-6.199687988,-95.87090484,97.84204368,7.31E-05,0.156589186,48.69871553,37.74,2036,,,,,,,,
3,feature,no,0.662498888,0.559821486,0.646093603,0.606068043,0.083761923,-2840.133512,138074.9799,99625.01858,5924.563467,36.56949231,-0.501452859,-0.948285935,-0.038447368,0.957818605,0.421531685,0.089328051,-6.408037094,-95.74343122,95.98763524,7.34E-05,0.11666685,50.92942152,35.33333333,2090,1,21.6216332,4,23.0505776,3,24.7640779,,
3,feature,no,0.49774183,0.33501115,0.470157232,0.344591925,0.084759924,-3035.512925,141372.7432,101758.8247,6055.283037,36.62406173,-0.671598506,-0.815734827,-0.105470037,1.191145403,1.045468485,0.555781818,-5.950513539,-112.3043884,102.5807656,9.34E-05,0.17066672,51.61425969,39.85714286,2091.428571,1,40.0359531,4,40.7481777,3,41.6440023,1,1
3,feature,no,0.445290571,0.475851403,0.469305484,0.457531979,0.086887379,-3440.889998,142063.7389,102314.1189,6023.66879,36.65166901,-0.741644068,-0.758919492,-0.161966102,0.926798301,0.544717949,0.107415217,-4.887711864,-120.2838983,106.2987288,6.97E-05,0.146031857,72.02582807,49.66666667,1406.666667,1,15.4931722,4,17.2171751,3,18.3131663,0,0
3,feature,no,0.553738647,0.283823492,0.501260503,0.384468073,0.087869933,-3620.87188,142559.3585,102643.7951,6035.22561,36.63446774,-0.752742092,-0.748828467,-0.154717762,0.886977995,0.512618582,0.147813665,-4.637469586,-120.8892944,106.6399027,5.40E-05,0.128,56.39414949,36.8,2349.333333,2,27.7193505,3,28.9157767,3,32.4211587,1,1
3,feature,no,0.500420445,0.636448768,0.458048758,0.720149903,0.088957555,-3815.630979,142289.6499,102602.9521,6003.532746,36.6386473,-0.756845671,-0.745056462,-0.151830615,0.901153074,0.524620733,0.102554557,-4.43161857,-120.8983689,106.7791719,4.99E-05,0.121568647,46.78858438,48.9,1498,1,29.2425143,3,30.2852476,3,31.539433,1,1
3,feature,no,0.35579947,0.305465142,0.368690254,0.311373473,0.089311446,-3878.067091,141614.0691,102255.3954,5950.619962,36.64882911,-0.756670498,-0.746038314,-0.147143678,0.861614203,0.468720388,-0.019595745,-4.570881226,-120.5766284,107.0555556,4.50E-05,0.13333325,34.61656667,40.2,2200,1,18.1961611,3,18.9994054,3,20.0798169,1,0
3,feature,no,0.536205266,0.285809222,0.617115995,0.35291034,0.09019093,-4030.550151,142788.5451,103017.8618,6016.205374,36.66408917,-0.751684512,-0.751256214,-0.148239006,0.915105566,0.631525097,0.226282908,-4.296367113,-120.4091778,106.334608,9.67E-05,0.13866664,41.25298413,32.5,2370,2,18.4247687,3,19.330983,3,20.3741536,1,0
3,feature,no,0.488515385,0.572078719,0.455917953,0.594215713,0.090988845,-4166.75237,142478.1497,102860.8695,5991.545106,36.70156962,-0.768030593,-0.735550669,-0.141847036,0.945493256,0.472762646,0.206453307,-4.099426386,-120.7304015,107.0611855,8.26E-05,0.158333313,49.50139365,35,1784.615385,2,18.0076099,3,18.9573078,3,20.0594506,1,1
3,feature,no,0.479868229,0.363828862,0.457899447,0.38767166,0.091511691,-4254.682589,142603,102901.4,5972.689552,36.71816749,-0.771122024,-0.733915179,-0.131933036,0.901455224,0.519957768,0.096121988,-4.525297619,-120.389881,107.3943452,8.63E-05,0.138461615,44.74923902,39.66666667,2243.333333,2,24.1572138,3,24.8257904,3,26.665324,0,0
3,feature,no,0.378759286,0.265642451,0.346082946,0.263076658,0.092186457,-4366.45954,142773.0228,103109.9685,5968.887916,36.7392948,-0.781146853,-0.726743007,-0.108552448,0.85290718,0.547602473,0.117620567,-4.106643357,-120.1503497,108.1958042,8.19E-05,0.1466668,44.03987826,31.88888889,2511.111111,1,18.8590693,3,20.068294,3,21.2196903,0,1
3,feature,no,0.324131509,0.457201107,0.309134812,0.418771403,0.0929508,-4491.32863,142786.9304,103163.3993,5968.082418,36.77439394,-0.762100365,-0.73904927,-0.156237226,0.88578245,0.610438306,0.113455056,-4.620437956,-120.7609489,106.75,7.91E-05,0.112500125,49.75150606,40,1683.076923,2,16.4808507,3,17.8581339,3,19.6720966,1,0
3,feature,no,0.572319726,0.480117755,0.546226678,0.515414913,0.093661693,-4605.516759,142481.4933,103017.2303,5958.293666,36.78188608,-0.76175717,-0.738772467,-0.162237094,0.903904398,0.565901734,0.11804501,-4.460803059,-120.9885277,106.6347992,9.19E-05,0.147619,42.9544381,39.83333333,1776.666667,1,17.2710042,3,18.5454119,3,19.7870057,1,1
