Question Number,Question Type,Choice,left eye 1,left eye 2,right eye 1,right eye 2,EA,EL,PI,PR,PG,TH,AX,AY,AZ,GX,GY,GZ,MX,MY,MZ,SA,SR,SF,HR,BI,Accept_Deny_button.response,Accept_Deny_button.rt,Confidence_Slider.response,Confidence_Slider.rt,Deny_Slider.response,Deny_Slider.rt
3,feature,no,0.415372574,0.894260791,0.39618075,0.911612722,0.433068427,-16311.95411,143901.7464,112184.0877,5708.056872,34.48592188,0.907865248,0.27572104,-0.132236407,0.817741706,0.555390887,0.094659259,33.15839243,-82.45390071,96.35460993,0,0,0.429137255,36.5,2280,2,13.6822175,4,15.2059463,1,16.8008797
3,feature,no,0.360953191,0.420706352,0.357743445,0.421371902,0.434289747,-16321.03384,144002.7367,112431.3992,5762.853503,34.53681119,0.910012685,0.270124736,-0.131778013,0.983248936,0.547961783,0.106908894,33.01691332,-82.46723044,96.16490486,0,0,0.22977193,38.90909091,2447.272727,2,14.5032343,4,15.9357298,1,17.1964009
3,feature,no,0.450790733,0.565574581,0.447935912,0.588880455,0.435898227,-16332.92753,143978.2167,112226.6931,5700.466667,34.61516129,0.906401662,0.269304709,-0.15734626,0.837617524,0.518921788,0.059234043,33.6468144,-81.99168975,95.72299169,0,0,0.101845977,33.22222222,3226.666667,2,15.2404636,3,23.1373698,1,24.3137604
3,feature,no,0.3529995,0.388342191,0.345471874,0.388523049,0.435746715,-16331.81166,144733.4497,112336.7383,5763.503356,34.67425185,0.906515625,0.27021875,-0.156294643,0.914908277,0.642450673,0.146388128,32.97098214,-82.08035714,95.62723214,0,0,0.043692593,34.9,1864,2,14.2505667,4,15.667323,1,17.791182
3,feature,no,0.367677625,0.562562835,0.362547023,0.534274979,0.435838417,-16332.48351,144820.3575,112929.0872,5728.624769,34.83185714,0.910001843,0.251861039,-0.129488389,0.866903988,0.586235032,0.092827989,33.03980833,-81.36822705,97.40729819,0,0,0.008043293,33.03846154,3640,,,,,,
4,image,no,0.738116268,0.185918956,0.73003677,0.224809912,0.437394083,-16343.90416,144423.0268,112599.4446,5679.446309,34.98132222,0.918802345,0.247053601,-0.115936348,1.07221608,0.671838655,0.146638079,34.50753769,-82.06867672,96.680067,0,0,0.000466667,27.33333333,4182.222222,2,19.5473043,4,20.2575064,1,21.4356513
4,image,no,0.531789431,0.54549938,0.533209508,0.544546853,0.438737994,-16353.70042,143887.848,112132.8974,5607.732601,35.02723636,0.922005474,0.244417883,-0.091436131,0.684936015,0.591368807,0.110030476,32.3120438,-82.54927007,96.59124088,0,0,0.000212121,29.5,2200,1,14.2511522,5,15.9316368,3,16.9573676
4,image,no,0.481197319,0.538359211,0.477592186,0.520645307,0.439733713,-16360.91815,143629.8589,112389.5403,5635.78629,35.06067333,0.919420523,0.254056338,-0.092004024,0.860670707,0.504461538,0.062556911,30.63983903,-82.01810865,96.45875252,0,0,0.0001,26.75,3085,1,17.5058591,5,18.1772375,3,20.0797546
4,image,no,0.574814649,0.65151982,0.569873179,0.688189491,0.440013925,-16362.94319,144250.2119,112772.7128,5775.350263,35.08447399,0.91709075,0.253972077,-0.109304196,0.951603839,0.55639539,0.074634581,30.52705061,-82.35078534,95.44502618,0,0,1.00E-04,28.125,3315,1,15.7858574,5,17.4728798,3,18.4024279
4,image,no,0.383145158,0.70322259,0.372242696,0.67770477,0.440789956,-16368.54556,143474.309,112810.8627,5732.625373,35.12295074,0.919688988,0.25194494,-0.074998512,0.839314456,0.610279522,0.037267071,30.10416667,-80.80059524,97.89136905,0,0,0,34.71428571,3451.428571,2,25.3284245,5,25.9806627,1,26.6642597
