LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,SF
1660659907.302324,314169.000,35195,1,SF,1,100,0.0000
1660659907.567740,314428.000,35245,1,SF,1,100,0.0000
1660659907.901815,314754.000,35295,1,SF,1,100,0.0000
1660659908.234865,315079.000,35346,1,SF,1,100,0.0000
1660659908.632476,315467.000,35412,1,SF,1,100,0.0000
1660659908.965527,315792.000,35462,1,SF,1,100,0.0000
1660659909.232992,316053.000,35513,1,SF,1,100,0.0000
1660659909.563993,316376.000,35561,1,SF,1,100,0.0000
1660659909.898068,316702.000,35613,1,SF,1,100,0.0000
1660659910.297729,317092.000,35678,1,SF,1,100,0.0000
1660659910.631804,317418.000,35727,1,SF,1,100,0.0000
1660659910.896195,317676.000,35776,1,SF,1,100,0.0000
1660659911.229245,318001.000,35826,1,SF,1,100,0.0000
1660659911.563320,318327.000,35875,1,SF,1,100,0.0000
1660659911.897396,318653.000,35917,1,SF,1,100,0.0000
1660659912.225322,318973.000,35966,1,SF,1,100,0.0000
1660659912.627032,319365.000,36032,1,SF,1,100,0.0000
1660659912.961107,319691.000,36082,1,SF,1,100,0.0000
1660659913.225498,319949.000,36133,1,SF,1,100,0.0000
1660659913.558549,320274.000,36181,1,SF,1,100,0.0000
1660659913.892624,320600.000,36233,1,SF,1,100,0.0000
1660659914.291260,320989.000,36298,1,SF,1,100,0.0000
1660659914.624310,321314.000,36347,1,SF,1,100,0.0000
1660659914.890751,321574.000,36396,1,SF,1,100,0.0000
1660659915.224826,321900.000,36446,1,SF,1,100,0.0000
1660659915.554802,322222.000,36495,1,SF,1,100,0.0000
1660659916.023122,322679.000,36563,1,SF,1,100,0.0000
1660659916.221928,322873.000,36595,1,SF,1,100,0.0000
1660659916.553953,323197.000,36645,1,SF,1,100,0.0000
1660659917.019199,323651.000,36716,1,SF,1,100,0.0000
1660659917.220054,323847.000,36750,1,SF,1,100,0.0000
1660659917.551055,324170.000,36801,1,SF,1,100,0.0000
1660659917.950716,324560.000,36867,1,SF,1,100,0.0000
1660659918.216131,324819.000,36917,1,SF,1,100,0.0000
1660659918.551231,325146.000,36966,1,SF,1,100,0.0000
1660659918.880183,325467.000,37017,1,SF,1,100,0.0000
1660659919.215283,325794.000,37068,1,SF,1,100,0.0000
1660659919.618017,326187.000,37134,1,SF,1,100,0.0000
1660659919.946969,326508.000,37182,1,SF,1,100,0.0000
1660659920.214434,326769.000,37231,1,SF,1,100,0.0000
1660659920.548509,327095.000,37281,1,SF,1,100,0.0000
1660659920.879510,327418.000,37331,1,SF,1,100,0.0000
1660659921.277121,327806.000,37396,1,SF,1,100,0.0000
1660659921.544586,328067.000,37447,1,SF,1,100,0.0000
1660659921.877637,328392.000,37496,1,SF,1,100,0.0000
1660659922.275248,328780.000,37550,1,SF,1,100,0.0000
1660659922.609323,329106.000,37599,1,SF,1,100,0.0000
1660659922.943398,329432.000,37650,1,SF,1,100,0.0000
1660659923.207789,329690.000,37698,1,SF,1,100,0.0000
1660659923.540839,330015.000,37747,1,SF,1,100,0.0000
1660659923.873890,330340.000,37798,1,SF,1,100,0.0000
1660659924.272526,330729.000,37863,1,SF,1,100,0.0000
1660659924.604551,331053.000,37913,1,SF,1,100,0.0000
1660659924.870992,331313.000,37964,1,SF,1,100,0.0000
1660659925.205067,331639.000,38014,1,SF,1,100,0.0000
1660659925.535043,331961.000,38062,1,SF,1,100,0.0000
1660659925.868093,332286.000,38114,1,SF,1,100,0.0000
1660659926.269804,332678.000,38179,1,SF,1,100,0.0000
1660659926.535219,332937.000,38230,1,SF,1,100,0.0000
1660659926.868270,333262.000,38279,1,SF,1,100,0.0000
1660659927.201320,333587.000,38329,1,SF,1,100,0.0000
1660659927.534371,333912.000,38367,1,SF,1,100,0.0000
1660659927.866396,334236.000,38420,1,SF,1,100,0.0000
1660659928.200472,334562.000,38469,1,SF,1,100,0.0000
1660659928.598083,334950.000,38535,1,SF,1,100,0.0000
1660659928.930108,335274.000,38587,1,SF,1,100,0.0000
1660659929.197573,335535.000,38636,1,SF,1,100,0.0000
1660659929.530624,335860.000,38684,1,SF,1,100,0.0000
1660659929.862649,336184.000,38736,1,SF,1,100,0.0000
1660659930.263335,336575.000,38801,1,SF,1,100,0.0000
1660659930.596385,336900.000,38852,1,SF,1,100,0.0000
1660659930.860776,337158.000,38902,1,SF,1,100,0.0000
1660659931.193827,337483.000,38951,1,SF,1,100,0.0000
1660659931.527902,337809.000,39000,1,SF,1,100,0.0000
1660659931.925513,338197.000,39066,1,SF,1,100,0.0000
1660659932.258563,338522.000,39116,1,SF,1,100,0.0000
1660659932.527053,338784.000,39165,1,SF,1,100,0.0000
1660659932.858054,339107.000,39205,1,SF,1,100,0.0000
1660659933.191105,339432.000,39256,1,SF,1,100,0.0000
1660659933.524155,339757.000,39304,1,SF,1,100,0.0000
1660659933.857205,340082.000,39356,1,SF,1,100,0.0000
1660659934.255841,340471.000,39421,1,SF,1,100,0.0000
1660659934.587867,340795.000,39470,1,SF,1,100,0.0000
1660659934.854307,341055.000,39521,1,SF,1,100,0.0000
1660659935.188383,341381.000,39571,1,SF,1,100,0.0000
1660659935.518359,341703.000,39620,1,SF,1,100,0.0000
1660659935.919044,342094.000,39686,1,SF,1,100,0.0000
1660659936.186509,342355.000,39736,1,SF,1,100,0.0000
1660659936.518535,342679.000,39785,1,SF,1,100,0.0000
1660659936.850560,343003.000,39834,1,SF,1,100,0.0000
1660659937.250221,343393.000,39899,1,SF,1,100,0.0000
1660659937.582247,343717.000,39953,1,SF,1,100,0.0000
