RD,TS_received,TS_sent,AK,RoundTrip,
3228981,3229006,2022-08-16_12-48-23-564879,3229010,25,
3234095,3234119,2022-08-16_12-48-28-811561,3234122,24,
3239241,3239272,2022-08-16_12-48-34-088229,3239277,31,
3244344,3249441,2022-08-16_12-48-39-418596,3249453,5097,
3249470,3249558,2022-08-16_12-48-44-641184,3249561,88,
3254554,3254579,2022-08-16_12-48-49-793232,3254582,25,
3259671,3259734,2022-08-16_12-48-55-079915,3259737,63,
3264801,3264829,2022-08-16_12-49-00-307897,3264833,28,
3269942,3269967,2022-08-16_12-49-05-578469,3269971,25,
3275085,3275115,2022-08-16_12-49-10-856385,3275118,30,
3280191,3280303,2022-08-16_12-49-16-181032,3285296,112,
3285319,3285392,2022-08-16_12-49-21-403137,3285395,73,
3290410,3290433,2022-08-16_12-49-26-577717,3290437,23,
3295525,3295587,2022-08-16_12-49-31-848245,3295590,62,
3300634,3300667,2022-08-16_12-49-37-070689,3300670,33,
3305779,3305819,2022-08-16_12-49-42-340734,3305822,40,
3310928,3310969,2022-08-16_12-49-47-637534,3310973,41,
3316025,3316063,2022-08-16_12-49-52-851797,3316068,38,
3321134,3321159,2022-08-16_12-49-58-096292,3321162,25,
3326250,3326317,2022-08-16_12-50-03-387521,3326320,67,
3331368,3331412,2022-08-16_12-50-08-612915,3331415,44,
3336483,3341636,2022-08-16_12-50-14-036806,3341641,5153,
3341641,3341691,2022-08-16_12-50-19-159677,3341694,50,
3346741,3346765,2022-08-16_12-50-24-363304,3346768,24,
3351887,3351977,2022-08-16_12-50-29-704871,3351980,90,
3357003,3357059,2022-08-16_12-50-34-920591,3357062,56,
3362103,3362127,2022-08-16_12-50-40-118678,3362131,24,
3367222,3367249,2022-08-16_12-50-45-367686,3367252,27,
3372340,3372364,2022-08-16_12-50-50-614390,3372367,24,
3377491,3377535,2022-08-16_12-50-55-919794,3377539,44,
3382601,3382629,2022-08-16_12-51-01-143755,3382632,28,
3387714,3387739,2022-08-16_12-51-06-381083,3387742,25,
3392880,3392908,2022-08-16_12-51-11-680982,3392914,28,
3397977,3398002,2022-08-16_12-51-16-905331,3398005,25,
3403147,3403195,2022-08-16_12-51-22-236697,3403199,48,
3408256,3408284,2022-08-16_12-51-27-458332,3408288,28,
3413353,3413382,2022-08-16_12-51-32-689119,3413385,29,
3418516,3418570,2022-08-16_12-51-38-008667,3418573,54,
3423614,3423655,2022-08-16_12-51-43-228559,3423659,41,
3428731,3428755,2022-08-16_12-51-48-455673,3428759,24,
3433841,3433934,2022-08-16_12-51-53-768695,3433938,93,
3438938,3438962,2022-08-16_12-51-58-927800,3438965,24,
3444055,3444082,2022-08-16_12-52-04-178108,3444085,27,
3449172,3449212,2022-08-16_12-52-09-445179,3449216,40,
3454271,3454311,2022-08-16_12-52-14-669298,3454314,40,
3459381,3459415,2022-08-16_12-52-19-909372,3459418,34,
3464488,3464513,2022-08-16_12-52-25-137819,3464516,25,
3469596,3469676,2022-08-16_12-52-30-435403,3469679,80,
3474753,3474774,2022-08-16_12-52-35-667614,3474778,21,
