LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,SA
1660669804.623533,4497806,63372,1,SA,1,100,0.000017
1660669810.947566,4503973,64342,1,SA,1,100,0.000031
1660669812.080703,4505078,64543,1,SA,1,100,0.000004
1660669812.810833,4505790,64684,1,SA,1,100,0.000027
1660669813.876290,4506829,64819,1,SA,1,100,0.000006
1660669815.341677,4508258,65051,1,SA,1,100,0.000006
1660669818.137091,4510984,65493,1,SA,1,100,0.000010
1660669822.197926,4514944,601,1,SA,1,100,0.000006
1660669824.926685,4517605,1037,1,SA,1,100,0.000003
1660669828.054349,4520655,1572,1,SA,1,100,0.000044
1660669833.714907,4526175,2477,1,SA,1,100,0.000017
1660669838.042363,4530395,3172,1,SA,1,100,0.000014
1660669839.373415,4531693,3361,1,SA,1,100,0.000031
1660669839.709767,4532021,3430,1,SA,1,100,0.000014
1660669842.970741,4535201,3944,1,SA,1,100,0.000028
