LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,B%
1658856854.732675,1767595.000,20559,1,B%,1,100,60
1658856855.733315,1768571.000,20724,1,B%,1,100,60
1658856856.730879,1769544.000,20872,1,B%,1,100,61
1658856857.730494,1770519.000,21021,1,B%,1,100,60
1658856858.727032,1771491.000,21186,1,B%,1,100,61
1658856859.725622,1772465.000,21356,1,B%,1,100,61
1658856860.723186,1773438.000,21504,1,B%,1,100,60
1658856861.721775,1774412.000,21669,1,B%,1,100,60
1658856862.720365,1775386.000,21818,1,B%,1,100,60
1658856863.718954,1776360.000,21981,1,B%,1,100,60
1658856864.716518,1777333.000,22153,1,B%,1,100,60
1658856865.717158,1778309.000,22302,1,B%,1,100,60
1658856866.712672,1779280.000,22466,1,B%,1,100,60
1658856867.715362,1780258.000,22615,1,B%,1,100,60
1658856868.712926,1781231.000,22780,1,B%,1,100,60
1658856869.708439,1782202.000,22930,1,B%,1,100,60
1658856870.708054,1783177.000,23100,1,B%,1,100,60
1658856871.707669,1784152.000,23249,1,B%,1,100,60
1658856872.705233,1785125.000,23414,1,B%,1,100,60
1658856873.701771,1786097.000,23562,1,B%,1,100,60
1658856874.698310,1787069.000,23727,1,B%,1,100,60
1658856875.698950,1788045.000,23881,1,B%,1,100,60
1658856876.697540,1789019.000,24046,1,B%,1,100,60
1658856877.698179,1789995.000,24193,1,B%,1,100,60
1658856878.694718,1790967.000,24359,1,B%,1,100,60
1658856879.693308,1791941.000,24524,1,B%,1,100,60
1658856880.690872,1792914.000,24679,1,B%,1,100,60
1658856881.688436,1793887.000,24827,1,B%,1,100,60
1658856882.687025,1794861.000,24994,1,B%,1,100,60
1658856883.686640,1795836.000,25161,1,B%,1,100,60
1658856884.684204,1796809.000,25310,1,B%,1,100,60
1658856885.684844,1797785.000,25480,1,B%,1,100,60
1658856886.681382,1798757.000,25628,1,B%,1,100,60
1658856887.682022,1799733.000,25793,1,B%,1,100,60
1658856888.679586,1800706.000,25942,1,B%,1,100,60
1658856889.677150,1801679.000,26105,1,B%,1,100,60
1658856890.674715,1802652.000,26270,1,B%,1,100,60
1658856891.674329,1803627.000,26423,1,B%,1,100,60
1658856892.670868,1804599.000,26572,1,B%,1,100,60
1658856893.668432,1805572.000,26736,1,B%,1,100,59
1658856894.665996,1806545.000,26900,1,B%,1,100,59
1658856895.666636,1807521.000,27050,1,B%,1,100,59
1658856896.665225,1808495.000,27220,1,B%,1,100,60
1658856897.664840,1809470.000,27369,1,B%,1,100,59
1658856898.663429,1810444.000,27534,1,B%,1,100,59
1658856899.662019,1811418.000,27681,1,B%,1,100,59
1658856900.660608,1812392.000,27847,1,B%,1,100,59
1658856901.657147,1813364.000,28002,1,B%,1,100,60
1658856902.656761,1814339.000,28168,1,B%,1,100,60
1658856903.656376,1815314.000,28333,1,B%,1,100,59
1658856904.652915,1816286.000,28481,1,B%,1,100,59
1658856905.651504,1817260.000,28646,1,B%,1,100,59
1658856906.649068,1818233.000,28794,1,B%,1,100,59
1658856907.649708,1819209.000,28965,1,B%,1,100,59
1658856908.647272,1820182.000,29113,1,B%,1,100,59
1658856909.644836,1821155.000,29281,1,B%,1,100,59
1658856910.642401,1822128.000,29447,1,B%,1,100,59
1658856911.643040,1823104.000,29598,1,B%,1,100,59
1658856912.639579,1824076.000,29755,1,B%,1,100,59
1658856913.636118,1825048.000,29920,1,B%,1,100,59
1658856914.633682,1826021.000,30069,1,B%,1,100,59
1658856915.635347,1826998.000,30233,1,B%,1,100,59
1658856916.632911,1827971.000,30397,1,B%,1,100,59
1658856917.632526,1828946.000,30533,1,B%,1,100,59
1658856918.629065,1829918.000,30699,1,B%,1,100,59
1658856919.627654,1830892.000,30864,1,B%,1,100,59
1658856920.625218,1831865.000,31013,1,B%,1,100,59
1658856921.622782,1832838.000,31178,1,B%,1,100,59
1658856922.622397,1833813.000,31330,1,B%,1,100,59
1658856923.620986,1834787.000,31494,1,B%,1,100,59
1658856924.617525,1835759.000,31659,1,B%,1,100,59
1658856925.617140,1836734.000,31808,1,B%,1,100,59
1658856926.612653,1837705.000,31973,1,B%,1,100,59
1658856927.613293,1838681.000,32127,1,B%,1,100,59
1658856928.610857,1839654.000,32279,1,B%,1,100,59
1658856929.608421,1840627.000,32427,1,B%,1,100,59
1658856930.605985,1841600.000,32594,1,B%,1,100,59
1658856931.605600,1842575.000,32759,1,B%,1,100,59
1658856932.602139,1843547.000,32908,1,B%,1,100,59
1658856933.598677,1844519.000,33058,1,B%,1,100,59
1658856934.597267,1845493.000,33223,1,B%,1,100,59
1658856935.598932,1846470.000,33372,1,B%,1,100,59
1658856936.597521,1847444.000,33537,1,B%,1,100,59
1658856937.597136,1848419.000,33702,1,B%,1,100,59
1658856938.594700,1849392.000,33853,1,B%,1,100,58
1658856939.592264,1850365.000,34002,1,B%,1,100,58
1658856940.590853,1851339.000,34167,1,B%,1,100,59
1658856941.588418,1852312.000,34332,1,B%,1,100,59
1658856942.588032,1853287.000,34480,1,B%,1,100,58
1658856943.585596,1854260.000,34634,1,B%,1,100,59
1658856944.581110,1855231.000,34799,1,B%,1,100,58
1658856945.580724,1856206.000,34947,1,B%,1,100,58
1658856946.578288,1857179.000,35112,1,B%,1,100,58
1658856947.578928,1858155.000,35260,1,B%,1,100,59
1658856948.576492,1859128.000,35426,1,B%,1,100,59
1658856949.574056,1860101.000,35579,1,B%,1,100,59
1658856950.572646,1861075.000,35729,1,B%,1,100,59
1658856951.572260,1862050.000,35893,1,B%,1,100,58
1658856952.568799,1863022.000,36058,1,B%,1,100,59
1658856953.566363,1863995.000,36206,1,B%,1,100,59
1658856954.565978,1864970.000,36360,1,B%,1,100,58
1658856955.566618,1865946.000,36524,1,B%,1,100,58
1658856956.563157,1866918.000,36688,1,B%,1,100,58
1658856957.562771,1867893.000,36836,1,B%,1,100,58
1658856958.559310,1868865.000,37001,1,B%,1,100,58
1658856959.556874,1869838.000,37139,1,B%,1,100,58
1658856960.554438,1870811.000,37305,1,B%,1,100,58
1658856961.552002,1871784.000,37470,1,B%,1,100,59
1658856962.551617,1872759.000,37619,1,B%,1,100,58
1658856963.550206,1873733.000,37767,1,B%,1,100,58
1658856964.545720,1874704.000,37937,1,B%,1,100,58
1658856965.545334,1875679.000,38068,1,B%,1,100,58
1658856966.543924,1876653.000,38234,1,B%,1,100,58
1658856967.546614,1877631.000,38399,1,B%,1,100,58
1658856968.543153,1878603.000,38548,1,B%,1,100,58
1658856969.540717,1879576.000,38713,1,B%,1,100,58
1658856970.538281,1880549.000,38852,1,B%,1,100,58
1658856971.537896,1881524.000,39017,1,B%,1,100,58
1658856972.535460,1882497.000,39166,1,B%,1,100,58
1658856973.531999,1883469.000,39332,1,B%,1,100,58
1658856974.530588,1884443.000,39496,1,B%,1,100,58
1658856975.530203,1885418.000,39632,1,B%,1,100,58
1658856976.528792,1886392.000,39798,1,B%,1,100,58
1658856977.529432,1887368.000,39963,1,B%,1,100,58
1658856978.525970,1888340.000,40111,1,B%,1,100,58
1658856979.524560,1889314.000,40276,1,B%,1,100,58
1658856980.523149,1890288.000,40414,1,B%,1,100,58
1658856981.521739,1891262.000,40579,1,B%,1,100,58
1658856982.521353,1892237.000,40727,1,B%,1,100,58
1658856983.519943,1893211.000,40890,1,B%,1,100,58
1658856984.515456,1894182.000,41055,1,B%,1,100,58
1658856985.515071,1895157.000,41206,1,B%,1,100,58
1658856986.513660,1896131.000,41360,1,B%,1,100,58
1658856987.514300,1897107.000,41527,1,B%,1,100,58
1658856988.509813,1898078.000,41677,1,B%,1,100,58
1658856989.507378,1899051.000,41844,1,B%,1,100,58
1658856990.504942,1900024.000,41993,1,B%,1,100,58
1658856991.503531,1900998.000,42148,1,B%,1,100,58
1658856992.501095,1901971.000,42315,1,B%,1,100,58
1658856993.498659,1902944.000,42463,1,B%,1,100,58
1658856994.497248,1903918.000,42629,1,B%,1,100,58
1658856995.496863,1904893.000,42794,1,B%,1,100,58
1658856996.492377,1905864.000,42947,1,B%,1,100,58
1658856997.494042,1906841.000,43096,1,B%,1,100,58
1658856998.492631,1907815.000,43246,1,B%,1,100,58
1658856999.490195,1908788.000,43411,1,B%,1,100,58
1658857000.487759,1909761.000,43559,1,B%,1,100,58
1658857001.485323,1910734.000,43713,1,B%,1,100,58
1658857002.484938,1911709.000,43878,1,B%,1,100,57
1658857003.483527,1912683.000,44026,1,B%,1,100,57
1658857004.479041,1913654.000,44192,1,B%,1,100,57
1658857005.479681,1914630.000,44357,1,B%,1,100,58
1658857006.478270,1915604.000,44507,1,B%,1,100,57
1658857007.478910,1916580.000,44659,1,B%,1,100,58
1658857008.474423,1917551.000,44824,1,B%,1,100,58
1658857009.471987,1918524.000,44974,1,B%,1,100,57
1658857010.471602,1919499.000,45141,1,B%,1,100,57
1658857011.471217,1920474.000,45289,1,B%,1,100,57
1658857012.468781,1921447.000,45444,1,B%,1,100,57
1658857013.467370,1922421.000,45609,1,B%,1,100,58
1658857014.465960,1923395.000,45756,1,B%,1,100,58
1658857015.466599,1924371.000,45920,1,B%,1,100,58
1658857016.462113,1925342.000,46085,1,B%,1,100,58
1658857017.463778,1926319.000,46224,1,B%,1,100,58
1658857018.462367,1927293.000,46391,1,B%,1,100,57
1658857019.459931,1928266.000,46556,1,B%,1,100,58
1658857020.458521,1929240.000,46705,1,B%,1,100,57
1658857021.455060,1930212.000,46870,1,B%,1,100,57
1658857022.453649,1931186.000,47017,1,B%,1,100,57
1658857023.451213,1932159.000,47172,1,B%,1,100,57
1658857024.448777,1933132.000,47337,1,B%,1,100,57
1658857025.448392,1934107.000,47485,1,B%,1,100,57
1658857026.446981,1935081.000,47650,1,B%,1,100,57
1658857027.446596,1936056.000,47798,1,B%,1,100,57
1658857028.443135,1937028.000,47952,1,B%,1,100,57
1658857029.440699,1938001.000,48117,1,B%,1,100,57
1658857030.439288,1938975.000,48269,1,B%,1,100,57
1658857031.437877,1939949.000,48435,1,B%,1,100,57
1658857032.435441,1940922.000,48600,1,B%,1,100,57
1658857033.433006,1941895.000,48739,1,B%,1,100,57
1658857034.430570,1942868.000,48888,1,B%,1,100,57
1658857035.429159,1943842.000,49053,1,B%,1,100,57
1658857036.424673,1944813.000,49218,1,B%,1,100,57
1658857037.427363,1945791.000,49366,1,B%,1,100,57
1658857038.424927,1946764.000,49521,1,B%,1,100,57
1658857039.422491,1947737.000,49686,1,B%,1,100,57
1658857040.419030,1948709.000,49834,1,B%,1,100,57
1658857041.416594,1949682.000,49999,1,B%,1,100,57
1658857042.415183,1950656.000,50148,1,B%,1,100,57
1658857043.413773,1951630.000,50312,1,B%,1,100,57
1658857044.410311,1952602.000,50451,1,B%,1,100,57
1658857045.410951,1953578.000,50615,1,B%,1,100,57
1658857046.409541,1954552.000,50764,1,B%,1,100,57
1658857047.408130,1955526.000,50928,1,B%,1,100,57
1658857048.402618,1956496.000,51095,1,B%,1,100,57
1658857049.401208,1957470.000,51250,1,B%,1,100,57
1658857050.399797,1958444.000,51399,1,B%,1,100,57
1658857051.398386,1959418.000,51564,1,B%,1,100,57
1658857052.395951,1960391.000,51711,1,B%,1,100,57
1658857053.394540,1961365.000,51875,1,B%,1,100,56
1658857054.392104,1962338.000,52031,1,B%,1,100,56
1658857055.391718,1963313.000,52198,1,B%,1,100,57
