LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,TH
1658874917.357700,225195.000,34479,1,TH,1,100,30.806
1658874917.561715,225394.000,34511,1,TH,1,100,30.743
1658874917.666285,225496.000,34528,1,TH,1,100,30.743
1658874917.768805,225596.000,34545,1,TH,1,100,30.700
1658874917.975895,225798.000,34577,1,TH,1,100,30.707
1658874918.079441,225899.000,34594,1,TH,1,100,30.831
1658874918.182986,226000.000,34611,1,TH,1,100,30.831
1658874918.290632,226105.000,34626,1,TH,1,100,30.755
1658874918.506949,226316.000,34659,1,TH,1,100,30.755
1658874918.610494,226417.000,34676,1,TH,1,100,30.783
1658874918.713014,226517.000,34693,1,TH,1,100,30.783
1658874918.820660,226622.000,34709,1,TH,1,100,30.709
1658874919.023650,226820.000,34742,1,TH,1,100,30.716
1658874919.133346,226927.000,34759,1,TH,1,100,30.848
1658874919.235866,227027.000,34776,1,TH,1,100,30.841
1658874919.442956,227229.000,34808,1,TH,1,100,30.780
1658874919.546502,227330.000,34824,1,TH,1,100,30.787
1658874919.661324,227442.000,34842,1,TH,1,100,30.845
1658874919.764869,227543.000,34858,1,TH,1,100,30.845
1658874919.971960,227745.000,34890,1,TH,1,100,30.742
1658874920.076530,227847.000,34908,1,TH,1,100,30.742
1658874920.197504,227965.000,34931,2,TH,1,100,30.789
1658874920.318477,228083.000,34931,2,TH,1,100,30.789
1658874920.437400,228199.000,34947,1,TH,1,100,30.799
1658874920.644490,228401.000,34979,1,TH,1,100,30.806
1658874920.747010,228501.000,34996,1,TH,1,100,30.879
1658874920.851581,228603.000,35012,1,TH,1,100,30.879
1658874920.956151,228705.000,35029,1,TH,1,100,30.834
1658874921.161191,228905.000,35062,1,TH,1,100,30.834
1658874921.264736,229006.000,35078,1,TH,1,100,30.799
1658874921.381609,229120.000,35096,1,TH,1,100,30.799
1658874921.485154,229221.000,35111,1,TH,1,100,30.694
1658874921.691220,229422.000,35144,1,TH,1,100,30.694
1658874921.794765,229523.000,35161,1,TH,1,100,30.785
1658874921.899335,229625.000,35177,1,TH,1,100,30.793
1658874922.026460,229749.000,35195,1,TH,1,100,30.823
1658874922.233550,229951.000,35227,1,TH,1,100,30.823
