LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,HR
1658875200.005299,500895,13597,1,HR,1,100,41
1658875201.511317,502364,13830,1,HR,1,100,41
1658875205.097466,505862,14384,1,HR,1,100,38
1658875207.141715,507856,14714,1,HR,1,100,37
1658875209.775453,510425,15135,1,HR,1,100,35
1658875211.986809,512582,15482,1,HR,1,100,34
1658875213.103252,513671,15666,1,HR,1,100,36
1658875216.894441,517369,16267,1,HR,1,100,34
1658875218.417888,518855,16515,1,HR,1,100,35
1658875224.665456,524949,17516,1,HR,1,100,32
1658875227.119784,527343,17902,1,HR,1,100,31
1658875228.740625,528924,18152,1,HR,1,100,32
1658875229.590516,529753,18303,1,HR,1,100,36
1658875232.719426,532805,18805,1,HR,1,100,34
1658875233.490376,533557,18922,1,HR,1,100,40
1658875234.298234,534345,19056,1,HR,1,100,44
1658875236.826377,536811,19459,1,HR,1,100,41
1658875237.673192,537637,19592,1,HR,1,100,45
1658875239.415006,539336,19857,1,HR,1,100,44
1658875240.217738,540119,19991,1,HR,1,100,47
1658875241.018419,540900,20115,1,HR,1,100,51
1658875242.678217,542519,20380,1,HR,1,100,49
1658875243.429689,543252,20514,1,HR,1,100,53
1658875245.095639,544877,20780,1,HR,1,100,51
1658875245.807127,545571,20880,1,HR,1,100,55
1658875246.613960,546358,21020,1,HR,1,100,57
1658875248.272733,547976,21286,1,HR,1,100,55
1658875249.036507,548721,21402,1,HR,1,100,57
1658875249.846415,549511,21536,1,HR,1,100,60
1658875250.694255,550338,21670,1,HR,1,100,61
1658875251.540045,551163,21810,1,HR,1,100,62
1658875252.430943,552032,21942,1,HR,1,100,63
1658875253.183440,552766,22076,1,HR,1,100,65
1658875253.997449,553560,22211,1,HR,1,100,66
1658875254.838113,554380,22345,1,HR,1,100,67
1658875255.686978,555208,22478,1,HR,1,100,67
1658875256.534819,556035,22617,1,HR,1,100,68
1658875258.139256,557600,22866,1,HR,1,100,64
1658875258.955315,558396,23000,1,HR,1,100,65
1658875259.723190,559145,23135,1,HR,1,100,67
1658875261.368636,560750,23400,1,HR,1,100,63
1658875262.217501,561578,23523,1,HR,1,100,64
1658875262.984351,562326,23656,1,HR,1,100,66
1658875263.823989,563145,23790,1,HR,1,100,67
1658875265.444830,564726,24039,1,HR,1,100,63
1658875266.237310,565499,24173,1,HR,1,100,65
1658875267.011336,566254,24296,1,HR,1,100,66
1658875273.094872,572188,25276,1,HR,1,100,60
1658875274.057534,573127,25425,1,HR,1,100,60
1658875274.947408,573995,25576,1,HR,1,100,61
1658875275.961331,574984,25726,1,HR,1,100,61
1658875276.792768,575795,25860,1,HR,1,100,62
1658875277.733901,576713,26017,1,HR,1,100,62
1658875278.649405,577606,26167,1,HR,1,100,63
1658875279.656151,578588,26318,1,HR,1,100,62
1658875280.619839,579528,26485,1,HR,1,100,62
1658875281.551745,580437,26635,1,HR,1,100,63
1658875282.433417,581297,26769,1,HR,1,100,63
1658875283.372500,582213,26924,1,HR,1,100,64
