LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,EL
1658874886.420244,195018.000,29677,2,EL,1,100,-16196.650391
1658874886.485857,195082.000,29693,1,EL,1,100,-16208.549805
1658874886.552495,195147.000,29710,2,EL,1,100,-16205.150391
1658874886.619133,195212.000,29710,2,EL,1,100,-16205.299805
1658874886.686796,195278.000,29727,1,EL,1,100,-16207.200195
1658874886.752921,195342.500,29744,2,EL,1,100,-16213.650391
1658874886.819047,195407.000,29744,2,EL,1,100,-16206.049805
1658874886.885480,195471.800,29761,5,EL,1,100,-16206.700195
1658874886.951913,195536.600,29761,5,EL,1,100,-16205.150391
1658874887.018346,195601.400,29761,5,EL,1,100,-16197.650391
1658874887.084779,195666.200,29761,5,EL,1,100,-16197.500000
1658874887.151212,195731.000,29761,5,EL,1,100,-16195.299805
1658874887.217593,195795.750,29782,4,EL,1,100,-16198.250000
1658874887.283975,195860.500,29782,4,EL,1,100,-16200.299805
1658874887.350357,195925.250,29782,4,EL,1,100,-16199.200195
1658874887.416738,195990.000,29782,4,EL,1,100,-16202.599609
1658874887.483376,196055.000,29799,3,EL,1,100,-16204.099609
1658874887.550014,196120.000,29799,3,EL,1,100,-16199.000000
1658874887.616652,196185.000,29799,3,EL,1,100,-16199.799805
1658874887.683290,196250.000,29816,2,EL,1,100,-16197.700195
1658874887.749928,196315.000,29816,2,EL,1,100,-16195.599609
1658874887.816566,196380.000,29833,2,EL,1,100,-16195.200195
1658874887.883204,196445.000,29833,2,EL,1,100,-16202.549805
1658874887.950867,196511.000,29849,1,EL,1,100,-16199.250000
1658874888.016993,196575.500,29867,2,EL,1,100,-16205.849609
1658874888.083118,196640.000,29867,2,EL,1,100,-16201.150391
1658874888.149756,196705.000,29884,1,EL,1,100,-16197.750000
1658874888.217419,196771.000,29901,2,EL,1,100,-16192.750000
1658874888.285083,196837.000,29901,2,EL,1,100,-16193.150391
1658874888.348645,196899.000,29916,1,EL,1,100,-16193.450195
1658874888.414770,196963.500,29933,2,EL,1,100,-16199.750000
1658874888.480896,197028.000,29933,2,EL,1,100,-16200.349609
1658874888.547534,197093.000,29949,2,EL,1,100,-16200.500000
1658874888.614172,197158.000,29949,2,EL,1,100,-16197.750000
1658874888.680810,197223.000,29972,1,EL,1,100,-16199.950195
1658874888.747960,197288.500,29986,2,EL,1,100,-16205.299805
1658874888.815111,197354.000,29986,2,EL,1,100,-16200.450195
1658874888.881749,197419.000,30005,1,EL,1,100,-16201.049805
1658874888.948387,197484.000,30022,2,EL,1,100,-16205.049805
1658874889.015025,197549.000,30022,2,EL,1,100,-16202.049805
1658874889.081663,197614.000,30040,1,EL,1,100,-16201.250000
1658874889.149326,197680.000,30056,2,EL,1,100,-16201.950195
1658874889.216989,197746.000,30056,2,EL,1,100,-16202.349609
1658874889.281577,197809.000,30071,1,EL,1,100,-16205.750000
1658874889.347702,197873.500,30088,2,EL,1,100,-16206.049805
1658874889.413827,197938.000,30088,2,EL,1,100,-16199.900391
1658874889.479440,198002.000,30105,2,EL,1,100,-16199.000000
1658874889.545053,198066.000,30105,2,EL,1,100,-16200.250000
1658874889.612716,198132.000,30121,1,EL,1,100,-16194.250000
1658874889.678842,198196.500,30137,2,EL,1,100,-16194.750000
1658874889.744967,198261.000,30137,2,EL,1,100,-16197.200195
1658874889.811605,198326.000,30153,1,EL,1,100,-16195.049805
1658874889.878243,198391.000,30170,2,EL,1,100,-16196.200195
1658874889.944881,198456.000,30170,2,EL,1,100,-16198.900391
1658874890.012544,198522.000,30187,1,EL,1,100,-16199.349609
1658874890.079695,198587.500,30205,2,EL,1,100,-16200.099609
1658874890.146845,198653.000,30205,2,EL,1,100,-16196.299805
1658874890.213483,198718.000,30219,1,EL,1,100,-16199.250000
1658874890.279609,198782.500,30237,2,EL,1,100,-16196.400391
1658874890.345734,198847.000,30237,2,EL,1,100,-16194.099609
1658874890.411860,198911.500,30253,2,EL,1,100,-16196.799805
1658874890.477985,198976.000,30253,2,EL,1,100,-16194.000000
1658874890.545648,199042.000,30270,1,EL,1,100,-16194.349609
1658874890.612286,199107.000,30285,2,EL,1,100,-16197.650391
1658874890.678924,199172.000,30285,2,EL,1,100,-16194.549805
