left eye 1,left eye 2,right eye 1,right eye 2,current time
0.353824735,0.677751303,0.358482748,0.670430303,08:57.2
0.354294062,0.677746236,0.357822329,0.669761658,08:57.2
0.352270752,0.670215726,0.355666995,0.671850741,08:57.3
0.350903213,0.667100072,0.356837243,0.671823621,08:57.3
0.353302866,0.667126298,0.356571257,0.671516299,08:57.4
0.356782794,0.668491602,0.356886327,0.671006918,08:57.4
0.35689649,0.672947407,0.354804635,0.666406989,08:57.5
0.357050806,0.670961618,0.353602439,0.660920262,08:57.5
0.34787938,0.672074199,0.357734174,0.665195346,08:57.6
0.346459806,0.67119664,0.357444435,0.662631869,08:57.6
0.349528283,0.669162393,0.354336739,0.660097063,08:57.7
0.348430037,0.667615652,0.353841841,0.66036129,08:57.7
0.350195885,0.670471191,0.354501128,0.660728216,08:57.8
0.352124155,0.673932433,0.354228944,0.662762403,08:57.8
0.353728563,0.665918767,0.354518354,0.656406164,08:57.9
0.354271203,0.66018486,0.356696337,0.654663384,08:57.9
0.350079328,0.670802712,0.35624212,0.656293631,08:58.0
0.35213393,0.674340844,0.356048644,0.651140869,08:58.0
0.360779405,0.662247539,0.358432055,0.655459106,08:58.0
0.356948674,0.665046751,0.359783441,0.65687567,08:58.1
0.350525498,0.666383386,0.359631449,0.650149465,08:58.1
0.349840611,0.668759346,0.358158231,0.649042964,08:58.2
0.346608162,0.6720227,0.357435346,0.648796439,08:58.2
0.347548634,0.669053197,0.357226878,0.651270032,08:58.3
0.351041943,0.66476655,0.360093206,0.656816006,08:58.3
0.353491008,0.666005135,0.360638261,0.656483471,08:58.4
0.352622032,0.664811254,0.363165915,0.652695358,08:58.4
0.351588428,0.664300203,0.363920212,0.651691318,08:58.5
0.351843327,0.668263197,0.359727174,0.653081059,08:58.5
0.350424916,0.674319029,0.360513031,0.650289416,08:58.6
0.349306315,0.675088823,0.362688839,0.649743676,08:58.6
0.350188255,0.672883451,0.362285465,0.653639495,08:58.7
0.356754899,0.67110157,0.363110006,0.659517229,08:58.8
0.357469916,0.648815334,0.365678847,0.651029766,08:58.8
0.355485559,0.620225728,0.393859357,0.511307001,08:58.9
0.406377822,0.333701372,0.417506278,0.375769377,08:58.9
0.41151911,0.307134807,0.425414264,0.306477696,08:59.0
0.413898468,0.298871338,0.424953282,0.293823361,08:59.0
0.409309596,0.305733234,0.419465929,0.29472217,08:59.1
0.408558071,0.302176744,0.418073058,0.292661339,08:59.1
0.409053147,0.309944421,0.418225944,0.294050008,08:59.2
0.411423057,0.305827051,0.418711543,0.293126136,08:59.2
0.415060312,0.292452484,0.41889444,0.279477358,08:59.3
0.412987202,0.290652454,0.419245154,0.279980034,08:59.3
0.4106206,0.284180224,0.415628642,0.282541484,08:59.4
0.410282642,0.28567633,0.414938003,0.282100946,08:59.4
0.397939384,0.312713951,0.400346667,0.287517667,08:59.4
0.377026111,0.323816687,0.379947901,0.299561828,08:59.5
0.359675169,0.325087249,0.37519744,0.307323962,08:59.5
0.359361291,0.328437179,0.374676287,0.306897193,08:59.5
0.364061832,0.325011343,0.374738306,0.302063525,08:59.6
0.365576863,0.328695774,0.379083127,0.305512011,08:59.6
0.362216622,0.329100579,0.379643202,0.304859489,08:59.7
0.360126853,0.324601054,0.380679846,0.301253289,08:59.7
0.35688889,0.322048128,0.382205248,0.305799633,08:59.8
0.357346386,0.3211492,0.378782332,0.300882429,08:59.8
0.357897401,0.32015568,0.375991642,0.301618814,08:59.9
0.357637644,0.324359506,0.376207829,0.29843545,08:59.9
0.355105132,0.322559744,0.374954998,0.293347865,09:00.0
0.355712146,0.317193508,0.37668559,0.298384547,09:00.0
0.354776323,0.320272386,0.380315512,0.301395565,09:00.1
0.355748773,0.316955984,0.381466717,0.303647786,09:00.1
0.363317639,0.313607424,0.379876882,0.300581157,09:00.2
0.364466041,0.311697453,0.375399202,0.296751916,09:00.2
0.357371986,0.311232388,0.374982864,0.288751364,09:00.3
0.35481146,0.309220254,0.379373878,0.290884763,09:00.3
0.361149967,0.299501359,0.377109319,0.286575288,09:00.4
0.363071024,0.300555229,0.374578655,0.286764473,09:00.4
0.35812974,0.298173815,0.374916315,0.291894555,09:00.5
0.355717093,0.296462089,0.376662284,0.284700245,09:00.5
0.357245445,0.293476284,0.377301693,0.294531703,09:00.6
0.359349906,0.291361034,0.376008391,0.295318693,09:00.6
0.359237194,0.289986521,0.375305921,0.299833506,09:00.7
0.360225439,0.293165565,0.375510842,0.295777172,09:00.7
0.358329117,0.301787794,0.376132578,0.290155083,09:00.7
0.359821081,0.309129655,0.379348487,0.303804636,09:00.8
0.372055262,0.322573811,0.385740936,0.312186629,09:00.8
0.373343855,0.325339943,0.387423694,0.317586064,09:00.9
0.372515261,0.327226251,0.387108475,0.316238493,09:00.9
0.372339725,0.327211857,0.388608754,0.321131945,09:01.0
0.365581781,0.317519188,0.391654551,0.32599774,09:01.0
0.36550954,0.318159103,0.390375316,0.319889545,09:01.1
0.371818066,0.324273616,0.381746143,0.319317579,09:01.1
0.369715035,0.325445294,0.380821675,0.314743668,09:01.2
0.368649513,0.327995032,0.381845444,0.316877306,09:01.2
0.369961262,0.327340633,0.382505596,0.314216256,09:01.3
0.368487477,0.321698219,0.382978112,0.316025883,09:01.3
0.366775215,0.320114464,0.38314569,0.315053076,09:01.4
0.368871182,0.319079876,0.382446587,0.313411534,09:01.4
0.369906634,0.314964712,0.384257019,0.314226538,09:01.5
0.363755107,0.317310929,0.388668031,0.319044709,09:01.6
0.363454551,0.316967815,0.387613416,0.320061117,09:01.6
0.360020339,0.323151141,0.386920065,0.31383124,09:01.7
0.361345649,0.322065473,0.388530046,0.312623382,09:01.7
0.362920761,0.315240622,0.386633962,0.306777239,09:01.8
0.361431003,0.317325354,0.386343747,0.308058172,09:01.8
0.366917044,0.320353657,0.384444296,0.309177101,09:01.8
0.365419418,0.324480683,0.38349387,0.310253024,09:01.9
0.36406222,0.332304478,0.384844691,0.309860438,09:01.9
0.364418447,0.332586706,0.384650648,0.308920592,09:02.0
0.367571682,0.324922919,0.389515281,0.310658336,09:02.0
0.369718939,0.327505261,0.391950309,0.310101032,09:02.1
0.368343502,0.327080995,0.389466643,0.295946926,09:02.1
0.368669242,0.330214202,0.388580412,0.296028435,09:02.2
0.364515752,0.336464465,0.387412935,0.305453241,09:02.2
0.364753097,0.329356223,0.384805739,0.3045623,09:02.3
0.364634484,0.317513674,0.385505408,0.305039346,09:02.3
0.362357646,0.316107571,0.385979086,0.30346939,09:02.4
0.359685838,0.327857405,0.386889786,0.297574908,09:02.4
0.360675991,0.322924048,0.387590975,0.302269846,09:02.5
0.359119296,0.315754503,0.387293786,0.313800633,09:02.5
0.359572709,0.327246964,0.387124449,0.31071797,09:02.6
0.369483471,0.336125553,0.388769865,0.31636858,09:02.6
0.37157771,0.336856484,0.390151978,0.313723087,09:02.6
0.370775104,0.339371204,0.390688866,0.307864875,09:02.7
0.368978649,0.338610709,0.38901493,0.310762346,09:02.7
0.370571434,0.334055603,0.38648209,0.307951301,09:02.8
0.368972242,0.334633917,0.388128012,0.308899194,09:02.8
0.371389836,0.328783661,0.386818081,0.300567508,09:02.9
0.379014462,0.326582223,0.376304299,0.30087173,09:02.9
0.356921583,0.327704072,0.366167307,0.309761405,09:03.0
0.350254089,0.328899711,0.367432117,0.304703861,09:03.0
0.352300495,0.333359748,0.364440233,0.307461053,09:03.1
0.353582114,0.341117561,0.363233775,0.308072418,09:03.1
0.356014073,0.336083442,0.368806422,0.304460675,09:03.2
0.353422701,0.328288555,0.368619561,0.309868157,09:03.3
0.354610711,0.336239994,0.367190331,0.316435128,09:03.3
0.356538892,0.33302471,0.36737439,0.314013094,09:03.3
0.360677391,0.334961444,0.368723214,0.30714795,09:03.4
0.361923039,0.334011257,0.367520362,0.309775412,09:03.4
0.355918378,0.334060133,0.366308957,0.314698398,09:03.5
0.355608404,0.336538613,0.367036432,0.314229697,09:03.5
0.363293529,0.33162272,0.367765069,0.312509,09:03.6
0.362198949,0.335083544,0.370021462,0.316508234,09:03.6
0.355322331,0.332187474,0.368794948,0.314403176,09:03.7
0.359216213,0.328986138,0.365604818,0.313169092,09:03.7
0.36616686,0.334546834,0.365596414,0.306164145,09:03.8
0.373287171,0.371732116,0.383698076,0.349157393,09:03.8
